step,variable,baseline,shocked,delta,delta_pct,shock_id,shock_label
2,inflation_cpi,1.9211,3.148,1.2269,63.86,S3_inflation,Inflation shock +5 pp
2,inflation_deflator,1.3498,1.354,0.0042,0.31,S3_inflation,Inflation shock +5 pp
2,labor_force_part,16.7781,16.8216,0.0434,0.26,S3_inflation,Inflation shock +5 pp
2,military_exp_gdp,0.2424,0.2436,0.0012,0.5,S3_inflation,Inflation shock +5 pp
2,money_broad_gdp,10.1251,10.0949,-0.0301,-0.3,S3_inflation,Inflation shock +5 pp
2,real_interest_rate,1.9393,1.9342,-0.0051,-0.27,S3_inflation,Inflation shock +5 pp
2,tax_revenue_gdp,3.5264,3.5112,-0.0152,-0.43,S3_inflation,Inflation shock +5 pp
2,trade_gdp,10.2487,10.2975,0.0489,0.48,S3_inflation,Inflation shock +5 pp
2,unemployment,1.4003,1.3897,-0.0106,-0.76,S3_inflation,Inflation shock +5 pp
2,urban_pop_growth,0.6542,0.6554,0.0012,0.18,S3_inflation,Inflation shock +5 pp
3,current_account,-0.3205,-0.3199,0.0006,0.19,S3_inflation,Inflation shock +5 pp
3,dom_credit_pvt,3.9516,3.9414,-0.0102,-0.26,S3_inflation,Inflation shock +5 pp
3,fdi_inflows,0.0592,0.059,-0.0003,-0.45,S3_inflation,Inflation shock +5 pp
3,gdp_growth,0.718,0.7116,-0.0064,-0.9,S3_inflation,Inflation shock +5 pp
3,gdp_per_capita,227.4145,226.6516,-0.7628,-0.34,S3_inflation,Inflation shock +5 pp
3,gdp_usd,13504872162.0594,13512625337.2962,7753175.2369,0.06,S3_inflation,Inflation shock +5 pp
3,gov_debt_gdp,-0.0,-0.0001,-0.0001,-1121.32,S3_inflation,Inflation shock +5 pp
3,gov_expense_gdp,3.4762,3.4735,-0.0027,-0.08,S3_inflation,Inflation shock +5 pp
3,inflation_cpi,0.9621,1.5808,0.6187,64.31,S3_inflation,Inflation shock +5 pp
3,inflation_deflator,0.676,0.6791,0.0031,0.47,S3_inflation,Inflation shock +5 pp
3,labor_force_part,8.3801,8.3844,0.0043,0.05,S3_inflation,Inflation shock +5 pp
3,military_exp_gdp,0.1208,0.1222,0.0014,1.16,S3_inflation,Inflation shock +5 pp
3,money_broad_gdp,5.0375,5.065,0.0274,0.54,S3_inflation,Inflation shock +5 pp
3,real_interest_rate,0.9688,0.9632,-0.0056,-0.58,S3_inflation,Inflation shock +5 pp
3,tax_revenue_gdp,1.7561,1.7625,0.0064,0.37,S3_inflation,Inflation shock +5 pp
3,trade_gdp,5.1495,5.1252,-0.0242,-0.47,S3_inflation,Inflation shock +5 pp
3,unemployment,0.7024,0.6977,-0.0047,-0.67,S3_inflation,Inflation shock +5 pp
3,urban_pop_growth,0.3282,0.3291,0.001,0.29,S3_inflation,Inflation shock +5 pp
4,current_account,-0.1597,-0.1607,-0.001,-0.62,S3_inflation,Inflation shock +5 pp
4,dom_credit_pvt,1.9796,1.9645,-0.0152,-0.77,S3_inflation,Inflation shock +5 pp
4,fdi_inflows,0.0297,0.0294,-0.0003,-1.16,S3_inflation,Inflation shock +5 pp
4,gdp_growth,0.3591,0.3553,-0.0039,-1.08,S3_inflation,Inflation shock +5 pp
4,gdp_per_capita,113.663,112.9675,-0.6955,-0.61,S3_inflation,Inflation shock +5 pp
4,gdp_usd,6743975580.5522,6782520742.9355,38545162.3834,0.57,S3_inflation,Inflation shock +5 pp
4,gov_debt_gdp,-0.0,-0.0001,-0.0001,-1117.88,S3_inflation,Inflation shock +5 pp
4,gov_expense_gdp,1.7298,1.7349,0.0051,0.3,S3_inflation,Inflation shock +5 pp
4,inflation_cpi,0.4808,0.7919,0.3111,64.69,S3_inflation,Inflation shock +5 pp
4,inflation_deflator,0.3395,0.3382,-0.0013,-0.38,S3_inflation,Inflation shock +5 pp
4,labor_force_part,4.2082,4.1778,-0.0305,-0.72,S3_inflation,Inflation shock +5 pp
4,military_exp_gdp,0.0601,0.0612,0.0011,1.83,S3_inflation,Inflation shock +5 pp
4,money_broad_gdp,2.5114,2.544,0.0326,1.3,S3_inflation,Inflation shock +5 pp
4,real_interest_rate,0.4823,0.4793,-0.003,-0.63,S3_inflation,Inflation shock +5 pp
4,tax_revenue_gdp,0.877,0.88,0.003,0.34,S3_inflation,Inflation shock +5 pp
4,trade_gdp,2.5745,2.5663,-0.0082,-0.32,S3_inflation,Inflation shock +5 pp
4,unemployment,0.3522,0.3491,-0.003,-0.87,S3_inflation,Inflation shock +5 pp
4,urban_pop_growth,0.1639,0.1653,0.0015,0.89,S3_inflation,Inflation shock +5 pp
5,current_account,-0.0798,-0.08,-0.0001,-0.14,S3_inflation,Inflation shock +5 pp
5,dom_credit_pvt,0.9925,0.979,-0.0135,-1.36,S3_inflation,Inflation shock +5 pp
5,fdi_inflows,0.0149,0.0147,-0.0002,-1.02,S3_inflation,Inflation shock +5 pp
5,gdp_growth,0.1793,0.1782,-0.0011,-0.6,S3_inflation,Inflation shock +5 pp
5,gdp_per_capita,56.9932,56.2772,-0.716,-1.26,S3_inflation,Inflation shock +5 pp
5,gdp_usd,3385749058.2571,3398990228.6464,13241170.3892,0.39,S3_inflation,Inflation shock +5 pp
5,gov_debt_gdp,-0.0,-0.0,-0.0,-1116.43,S3_inflation,Inflation shock +5 pp
5,gov_expense_gdp,0.8645,0.8646,0.0,0.0,S3_inflation,Inflation shock +5 pp
5,inflation_cpi,0.2405,0.3968,0.1563,65.0,S3_inflation,Inflation shock +5 pp
5,inflation_deflator,0.1704,0.1689,-0.0015,-0.87,S3_inflation,Inflation shock +5 pp
5,labor_force_part,2.1128,2.0851,-0.0276,-1.31,S3_inflation,Inflation shock +5 pp
5,military_exp_gdp,0.0301,0.0306,0.0005,1.59,S3_inflation,Inflation shock +5 pp
5,money_broad_gdp,1.2579,1.2687,0.0108,0.86,S3_inflation,Inflation shock +5 pp
5,real_interest_rate,0.24,0.2388,-0.0012,-0.49,S3_inflation,Inflation shock +5 pp
5,tax_revenue_gdp,0.4367,0.4411,0.0044,1.0,S3_inflation,Inflation shock +5 pp
5,trade_gdp,1.2889,1.2872,-0.0017,-0.13,S3_inflation,Inflation shock +5 pp
5,unemployment,0.1755,0.1741,-0.0014,-0.82,S3_inflation,Inflation shock +5 pp
5,urban_pop_growth,0.0818,0.0826,0.0008,0.98,S3_inflation,Inflation shock +5 pp
