is_retweet,retweet_retweet_count,retweet_screen_name,retweet_text,text
1,72,jumaf3,I know of a police officer who has 21 motorbikes in Nairobi... 99% of these hooligans on boda bodas don't own a single motorbike. They are riding other people's. Most motorbikes in Nairobi are owned by traffic cops that is why many will never spend a night behind walls.,RT @jumaf3: I know of a police officer who has 21 motorbikes in Nairobi... 99% of these hooligans on boda bodas don't own a single motorbik…
1,328,,President Uhuru orders crackdown on boda boda operators following Forest Road incident. https://t.co/KpbghTMICv,RT @ntvkenya: President Uhuru orders crackdown on boda boda operators following Forest Road incident. https://t.co/KpbghTMICv
1,35,StateHouseKenya,"1/3 President Uhuru Kenyatta has ordered a countrywide security crackdown aimed at weeding out rogue boda boda operators from the sector following the recent assault of a female motorist along Wangari Maathai Road in Nairobi County. #IWD2022

Read more: https://t.co/efRj91gGYb https://t.co/nOxQb1hPgZ",RT @StateHouseKenya: 1/3 President Uhuru Kenyatta has ordered a countrywide security crackdown aimed at weeding out rogue boda boda operato…
1,303,drusila_livia,"¿Sabías que la mujer romana se hacía adulta a los 12 años? 

¿Que existían dos tipos de boda?

¿Y que el aborto era lícito?

Exacto, hoy por el #8M  vamos a hablar de las mujeres en la antigua Roma
[⬇️Dentro Hilo⬇️] https://t.co/G1NQ59S5sw","RT @drusila_livia: ¿Sabías que la mujer romana se hacía adulta a los 12 años? 

¿Que existían dos tipos de boda?

¿Y que el aborto era líci…"
1,775,NationBreaking,PRESIDENT KENYATTA orders crackdown on all boda boda operators in Nairobi and across the country; says all operators will be registered https://t.co/HJu6t2DjDb,RT @NationBreaking: PRESIDENT KENYATTA orders crackdown on all boda boda operators in Nairobi and across the country; says all operators wi…
1,11,,"Government and its reactions. This Boda boda issue, is no longer about the Forest Road incident  it is now about a business interest that begun in 2018. Curiously, one event was sponsored by @RUBiSKenya_ 
@Aaroncheruiyot calls it knee jerk, I agree!","RT @OleItumbi: Government and its reactions. This Boda boda issue, is no longer about the Forest Road incident  it is now about a business…"
0,,,,"I want to appreciate what has been said by many Kenyans after watching in dismay the disturbing and scandalous episode that happened to a young lady who was molested by suspected boda boda riders along Wangari Mathai/Forest road.
#IWD2022
#JustinTime https://t.co/Wn8hwwn9KL"
0,,,,Just got yanked off a moving boda boda by police at lavington mall 😂😂😂 weh this crackdown is real. Avoid taking bodas today guys. P.S I’m okay it’s just the rider they wanted.
1,263,gabrieloguda,"Boda Bodas are being fined 35,000 each for riding on pavements and for causing obstruction. Already 200 processed at Milimani Law Courts just today. These guys will be forced to self-regulate or be run out of business.","RT @gabrieloguda: Boda Bodas are being fined 35,000 each for riding on pavements and for causing obstruction. Already 200 processed at Mili…"
1,2,MambazoJk,"Desatendía a sus hijos, les decía que no iba a descansar hasta ver al padre en la cárcel, los despreció en su boda, se negó a la mediación con su hija, etc.

👆🏼¿Rocío Carrasco tenía que haber aguantado de por vida todas las mentiras sobre ella?👆🏼

Mensaje VOMITIVO🚩
#APOYOROCIO8M https://t.co/w5Vvk7z3aF","RT @MambazoJk: Desatendía a sus hijos, les decía que no iba a descansar hasta ver al padre en la cárcel, los despreció en su boda, se negó…"
1,584,MuthoniMaryanne,"It's Kenyans vs rogue boda boda riders,
not men vs women. Stay focused, it's not time for gender wars.","RT @MuthoniMaryanne: It's Kenyans vs rogue boda boda riders,
not men vs women. Stay focused, it's not time for gender wars."
0,,,,"Boda boda crackdown: 16 people arrested over assault of motorist on Forest Road

https://t.co/9LUnyPtmoD https://t.co/XH8bKI51yl"
1,248,Kedrick1275,@manueelviana @anitalyyy O que se haga otro hilo de cómo se casaron en una boda que no era la suya,RT @Kedrick1275: @manueelviana @anitalyyy O que se haga otro hilo de cómo se casaron en una boda que no era la suya
1,84,manueelviana,"@anitalyyy difícilmente encontrarás a alguien mejor la verdad, menudo makina el chaval. espero q nos inviteis a la boda","RT @manueelviana: @anitalyyy difícilmente encontrarás a alguien mejor la verdad, menudo makina el chaval. espero q nos inviteis a la boda"
1,950,mwalimu_dida,"Before being sold a Boda Boda bike, get
1. A driving license.
2. Certificate of good conduct.
3. Boda Boda SACCO membership.

Every bike must be;
1. Geotagged
2. Insured
3. Bear SACCO name and rider SACCO number.

A biker must display a passport pic with name in a tag.

REFORMS!","RT @mwalimu_dida: Before being sold a Boda Boda bike, get
1. A driving license.
2. Certificate of good conduct.
3. Boda Boda SACCO membersh…"
1,40,WanjikuHSC,"Nairobi CBD is a no go zone. Cs Matiangi has released energetic new GSU recruits to deal with Boda Boda gang. Anyone who has ever attended Raila Odinga's demos knows what those youthful soldiers can do with Civilians.
It's messy.",RT @WanjikuHSC: Nairobi CBD is a no go zone. Cs Matiangi has released energetic new GSU recruits to deal with Boda Boda gang. Anyone who ha…
1,1,njuguna254,"Motorists parking to loot. No wonder your leaders looted KEMSA and you're OK with it.

Boda Boda Janet Charles Keter Assimio Maralal Matatu Kibaki https://t.co/Wj8sUviUBL","RT @njuguna254: Motorists parking to loot. No wonder your leaders looted KEMSA and you're OK with it.

Boda Boda Janet Charles Keter Assimi…"
1,108,citizentvkenya,"CS Matiang'i Announces 'Painful' Crackdown On Boda Boda Riders
https://t.co/xnFiqZzw5r https://t.co/wmzPeNGBiW","RT @citizentvkenya: CS Matiang'i Announces 'Painful' Crackdown On Boda Boda Riders
https://t.co/xnFiqZzw5r https://t.co/wmzPeNGBiW"
1,25,KTNNewsKE,"A special taskforce will be formed to streamline the boda boda sector in the country, Interior Cabinet Secretary Fred Matiang’i has said. https://t.co/FQLvnb8GPM","RT @KTNNewsKE: A special taskforce will be formed to streamline the boda boda sector in the country, Interior Cabinet Secretary Fred Matian…"
1,328,,President Uhuru orders crackdown on boda boda operators following Forest Road incident. https://t.co/KpbghTMICv,RT @ntvkenya: President Uhuru orders crackdown on boda boda operators following Forest Road incident. https://t.co/KpbghTMICv
1,25,StandardKenya,President Uhuru Kenyatta orders nationwide crackdown on rogue boda boda operators; warns politicians against claiming Government is oppressing low-income business people. https://t.co/yfwnaCGsLw,RT @StandardKenya: President Uhuru Kenyatta orders nationwide crackdown on rogue boda boda operators; warns politicians against claiming Go…
0,,,,"Government and its reactions. This Boda boda issue, is no longer about the Forest Road incident  it is now about a business interest that begun in 2018. Curiously, one event was sponsored by @RUBiSKenya_ 
@Aaroncheruiyot calls it knee jerk, I agree!"
1,11,,"Government and its reactions. This Boda boda issue, is no longer about the Forest Road incident  it is now about a business interest that begun in 2018. Curiously, one event was sponsored by @RUBiSKenya_ 
@Aaroncheruiyot calls it knee jerk, I agree!","RT @OleItumbi: Government and its reactions. This Boda boda issue, is no longer about the Forest Road incident  it is now about a business…"
0,,,,@ArapKamonjo @gidikariuki With proper regulations they can still operate. Rwanda boda bodas operate in a well regulated manner
0,,,,"@jana_blahakova @JardaEfko Tak vás tu máme, bratři z krve Kainovy,
Poslové noci, která do zad bodá dýku,
Tak vás tu máme, bratři, vnuci Stalinovi,
Však ne tak jako včera, dnes už bez šeříků,
Však díky za železné holubičky míru
A díky za polibky s chutí hořkých mandlí,
V krajině přelíbezné zavraždili víru,"
0,,,,"Do you support the crackdown of all Boda boda in the country as ordered president Uhuru Kenyatta? 
#RutoTheTourist Janet, Kidero, Sonko
#InternationalWomensDay2022"
1,1,PeopleDailyKe,President Uhuru Kenyatta on rogue Boda Boda operators #PDNews https://t.co/L4ZBtVYLtL,RT @PeopleDailyKe: President Uhuru Kenyatta on rogue Boda Boda operators #PDNews https://t.co/L4ZBtVYLtL
1,2,Cedric_SNR,"When one Government official steals, there is never an entire crack down in that institution, but when one boda boda misbehaves, we are cracking down the entire industry hence rendering millions of youths jobless. Kweli tutaishi hivi?","RT @Cedric_SNR: When one Government official steals, there is never an entire crack down in that institution, but when one boda boda misbeh…"
1,237,RodgersKipembe,"There is nothing like violence against women, every gender suffers from Rogue Boda Boda riders. Pulling a 'gender' card in this whole issue is the surest way of departing from common sense.

Morning.","RT @RodgersKipembe: There is nothing like violence against women, every gender suffers from Rogue Boda Boda riders. Pulling a 'gender' card…"
